"id","disease","code","disease_group_id","disease_group_code","block_code","chapter_id","block_id","level","place_of_class","type_of_code","code_1","code_2","field_11","field_12","field_13","field_14"
"35","Other bacterial foodborne intoxications, not elsewhere classified","A05","434","A05","A00","1","6","3","N","X","A05.-","A05","4-002","3-003","2-003","1-004"
"36","Foodborne staphylococcal intoxication","A05.0","434","A05","A00","1","6","4","T","X","A05.0","A050","4-002","3-003","2-003","1-004"
"37","Botulism","A05.1","434","A05","A00","1","6","4","T","X","A05.1","A051","4-002","3-003","2-003","1-004"
"38","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","A05.2","434","A05","A00","1","6","4","T","X","A05.2","A052","4-002","3-003","2-003","1-004"
"39","Foodborne Vibrio parahaemolyticus intoxication","A05.3","434","A05","A00","1","6","4","T","X","A05.3","A053","4-002","3-003","2-003","1-004"
"40","Foodborne Bacillus cereus intoxication","A05.4","434","A05","A00","1","6","4","T","X","A05.4","A054","4-002","3-003","2-003","1-004"
"41","Other specified bacterial foodborne intoxications","A05.8","434","A05","A00","1","6","4","T","X","A05.8","A058","4-002","3-003","2-003","1-004"
"42","Bacterial foodborne intoxication, unspecified","A05.9","434","A05","A00","1","6","4","T","X","A05.9","A059","4-002","3-003","2-003","1-004"
"43","Amoebiasis","A06","435","A06","A00","1","4","3","N","X","A06.-","A06","4-002","3-003","2-003","1-004"
"44","Acute amoebic dysentery","A06.0","435","A06","A00","1","4","4","T","X","A06.0","A060","4-002","3-003","2-003","1-004"
"45","Chronic intestinal amoebiasis","A06.1","435","A06","A00","1","4","4","T","X","A06.1","A061","4-002","3-003","2-003","1-004"
"46","Amoebic nondysenteric colitis","A06.2","435","A06","A00","1","4","4","T","X","A06.2","A062","4-002","3-003","2-003","1-004"
"47","Amoeboma of intestine","A06.3","435","A06","A00","1","4","4","T","X","A06.3","A063","4-002","3-003","2-003","1-004"
"48","Amoebic liver abscess","A06.4","435","A06","A00","1","4","4","T","X","A06.4","A064","4-002","3-003","2-003","1-004"
"49","Amoebic lung abscess","A06.5","435","A06","A00","1","4","4","T","X","A06.5","A065","4-002","3-003","2-003","1-004"
"50","Amoebic brain abscess","A06.6","435","A06","A00","1","4","4","T","X","A06.6","A066","4-002","3-003","2-003","1-004"
"51","Cutaneous amoebiasis","A06.7","435","A06","A00","1","4","4","T","X","A06.7","A067","4-002","3-003","2-003","1-004"
"52","Amoebic infection of other sites","A06.8","435","A06","A00","1","4","4","T","X","A06.8","A068","4-002","3-003","2-003","1-004"
"53","Amoebiasis, unspecified","A06.9","435","A06","A00","1","4","4","T","X","A06.9","A069","4-002","3-003","2-003","1-004"
"54","Other protozoal intestinal diseases","A07","436","A07","A00","1","6","3","N","X","A07.-","A07","4-002","3-003","2-003","1-004"
"55","Balantidiasis","A07.0","436","A07","A00","1","6","4","T","X","A07.0","A070","4-002","3-003","2-003","1-004"
"56","Giardiasis [lambliasis]","A07.1","436","A07","A00","1","6","4","T","X","A07.1","A071","4-002","3-003","2-003","1-004"
"57","Cryptosporidiosis","A07.2","436","A07","A00","1","6","4","T","X","A07.2","A072","4-002","3-003","2-003","1-004"
"58","Isosporiasis","A07.3","436","A07","A00","1","6","4","T","X","A07.3","A073","4-002","3-003","2-003","1-004"
"59","Other specified protozoal intestinal diseases","A07.8","436","A07","A00","1","6","4","T","X","A07.8","A078","4-002","3-003","2-003","1-004"
"60","Protozoal intestinal disease, unspecified","A07.9","436","A07","A00","1","6","4","T","X","A07.9","A079","4-002","3-003","2-003","1-004"
"61","Viral and other specified intestinal infections","A08","437","A08","A00","1","6","3","N","X","A08.-","A08","4-002","3-003","2-003","1-004"
"62","Rotaviral enteritis","A08.0","437","A08","A00","1","6","4","T","X","A08.0","A080","4-002","3-003","2-003","1-004"
"63","Acute gastroenteropathy due to Norwalk agent","A08.1","437","A08","A00","1","6","4","T","X","A08.1","A081","4-002","3-003","2-003","1-004"
"64","Adenoviral enteritis","A08.2","437","A08","A00","1","6","4","T","X","A08.2","A082","4-002","3-003","2-003","1-004"
"65","Other viral enteritis","A08.3","437","A08","A00","1","6","4","T","X","A08.3","A083","4-002","3-003","2-003","1-004"
"66","Viral intestinal infection, unspecified","A08.4","437","A08","A00","1","6","4","T","X","A08.4","A084","4-002","3-003","2-003","1-004"
"67","Other specified intestinal infections","A08.5","437","A08","A00","1","6","4","T","X","A08.5","A085","4-002","3-003","2-003","1-004"
"68","Other gastroenteritis and colitis of infectious and unspecified origin","A09","438","A09","A00","1","5","3","N","X","A09.-","A09","4-001","3-002","2-002","1-003"
"69","Other and unspecified gastroenteritis and colitis of infectious origin","A09.0","438","A09","A00","1","5","4","T","X","A09.0","A090","4-001","3-002","2-002","1-003"
"70","Gastroenteritis and colitis of unspecified origin","A09.9","438","A09","A00","1","5","4","T","X","A09.9","A099","4-001","3-002","2-002","1-003"
"71","Respiratory tuberculosis, bacteriologically and histologically confirmed","A15","439","A15","A15","1","7","3","N","X","A15.-","A15","4-003","3-004","2-004","1-005"
"72","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","A15.0","439","A15","A15","1","7","4","T","X","A15.0","A150","4-003","3-004","2-004","1-005"
"73","Tuberculosis of lung, confirmed by culture only","A15.1","439","A15","A15","1","7","4","T","X","A15.1","A151","4-003","3-004","2-004","1-005"
"74","Tuberculosis of lung, confirmed histologically","A15.2","439","A15","A15","1","7","4","T","X","A15.2","A152","4-003","3-004","2-004","1-005"
"75","Tuberculosis of lung, confirmed by unspecified means","A15.3","439","A15","A15","1","7","4","T","X","A15.3","A153","4-003","3-004","2-004","1-005"
"76","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","A15.4","439","A15","A15","1","7","4","T","X","A15.4","A154","4-003","3-004","2-004","1-005"
"77","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","A15.5","439","A15","A15","1","7","4","T","X","A15.5","A155","4-003","3-004","2-004","1-005"
"78","Tuberculous pleurisy, confirmed bacteriologically and histologically","A15.6","439","A15","A15","1","7","4","T","X","A15.6","A156","4-003","3-004","2-004","1-005"
"79","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","A15.7","439","A15","A15","1","7","4","T","X","A15.7","A157","4-003","3-004","2-004","1-005"
"80","Other respiratory tuberculosis, confirmed bacteriologically and histologically","A15.8","439","A15","A15","1","7","4","T","X","A15.8","A158","4-003","3-004","2-004","1-005"
"81","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","A15.9","439","A15","A15","1","7","4","T","X","A15.9","A159","4-003","3-004","2-004","1-005"
"82","Respiratory tuberculosis, not confirmed bacteriologically or histologically","A16","440","A16","A15","1","7","3","N","X","A16.-","A16","4-003","3-004","2-004","1-005"
"83","Tuberculosis of lung, bacteriologically and histologically negative","A16.0","440","A16","A15","1","7","4","T","X","A16.0","A160","4-003","3-004","2-004","1-005"
"84","Tuberculosis of lung, bacteriological and histological examination not done","A16.1","440","A16","A15","1","7","4","T","X","A16.1","A161","4-003","3-004","2-004","1-005"
"85","Tuberculosis of lung, without mention of bacteriological or histological confirmation","A16.2","440","A16","A15","1","7","4","T","X","A16.2","A162","4-003","3-004","2-004","1-005"
"86","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","A16.3","440","A16","A15","1","7","4","T","X","A16.3","A163","4-003","3-004","2-004","1-005"
"87","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","A16.4","440","A16","A15","1","7","4","T","X","A16.4","A164","4-003","3-004","2-004","1-005"
"88","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","A16.5","440","A16","A15","1","7","4","T","X","A16.5","A165","4-003","3-004","2-004","1-005"
"89","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","A16.7","440","A16","A15","1","7","4","T","X","A16.7","A167","4-003","3-004","2-004","1-005"
"90","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","A16.8","440","A16","A15","1","7","4","T","X","A16.8","A168","4-003","3-004","2-004","1-005"
"91","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","A16.9","440","A16","A15","1","7","4","T","X","A16.9","A169","4-003","3-004","2-004","1-005"
"92","Tuberculosis of nervous system","A17","441","A17","A15","1","8","3","N","X","A17.-","A17","4-003","3-004","2-005","1-006"
"93","Tuberculous meningitis","A17.0","441","A17","A15","1","8","4","T","X","A17.0","A170","4-003","3-004","2-005","1-006"
"94","Meningeal tuberculoma","A17.1","441","A17","A15","1","8","4","T","X","A17.1","A171","4-003","3-004","2-005","1-006"
"95","Other tuberculosis of nervous system","A17.8","441","A17","A15","1","8","4","T","X","A17.8","A178","4-003","3-004","2-005","1-006"
"96","Tuberculosis of nervous system, unspecified","A17.9","441","A17","A15","1","8","4","T","X","A17.9","A179","4-003","3-004","2-005","1-006"
"97","Tuberculosis of other organs","A18","442","A18","A15","1","8","3","N","X","A18.-","A18","4-003","3-004","2-005","1-006"
"98","Tuberculosis of bones and joints","A18.0","442","A18","A15","1","8","4","T","X","A18.0","A180","4-003","3-004","2-005","1-006"
"99","Tuberculosis of genitourinary system","A18.1","442","A18","A15","1","8","4","T","X","A18.1","A181","4-003","3-004","2-005","1-006"
"100","Tuberculous peripheral lymphadenopathy","A18.2","442","A18","A15","1","8","4","T","X","A18.2","A182","4-003","3-004","2-005","1-006"
"101","Tuberculosis of intestines, peritoneum and mesenteric glands","A18.3","442","A18","A15","1","8","4","T","X","A18.3","A183","4-003","3-004","2-005","1-006"
"102","Tuberculosis of skin and subcutaneous tissue","A18.4","442","A18","A15","1","8","4","T","X","A18.4","A184","4-003","3-004","2-005","1-006"
"103","Tuberculosis of eye","A18.5","442","A18","A15","1","8","4","T","X","A18.5","A185","4-003","3-004","2-005","1-006"
"104","Tuberculosis of ear","A18.6","442","A18","A15","1","8","4","T","X","A18.6","A186","4-003","3-004","2-005","1-006"
"105","Tuberculosis of adrenal glands","A18.7","442","A18","A15","1","8","4","T","X","A18.7","A187","4-003","3-004","2-005","1-006"
"106","Tuberculosis of other specified organs","A18.8","442","A18","A15","1","8","4","T","X","A18.8","A188","4-003","3-004","2-005","1-006"
"107","Miliary tuberculosis","A19","443","A19","A15","1","8","3","N","X","A19.-","A19","4-003","3-004","2-005","1-006"
"108","Acute miliary tuberculosis of a single specified site","A19.0","443","A19","A15","1","8","4","T","X","A19.0","A190","4-003","3-004","2-005","1-006"
"109","Acute miliary tuberculosis of multiple sites","A19.1","443","A19","A15","1","8","4","T","X","A19.1","A191","4-003","3-004","2-005","1-006"
"110","Acute miliary tuberculosis, unspecified","A19.2","443","A19","A15","1","8","4","T","X","A19.2","A192","4-003","3-004","2-005","1-006"
"111","Other miliary tuberculosis","A19.8","443","A19","A15","1","8","4","T","X","A19.8","A198","4-003","3-004","2-005","1-006"
"112","Miliary tuberculosis, unspecified","A19.9","443","A19","A15","1","8","4","T","X","A19.9","A199","4-003","3-004","2-005","1-006"
"113","Plague","A20","444","A20","A20","1","9","3","N","X","A20.-","A20","4-014","3-015","2-006","1-007"
"114","Bubonic plague","A20.0","444","A20","A20","1","9","4","T","X","A20.0","A200","4-014","3-015","2-006","1-007"
"115","Cellulocutaneous plague","A20.1","444","A20","A20","1","9","4","T","X","A20.1","A201","4-014","3-015","2-006","1-007"
"116","Pneumonic plague","A20.2","444","A20","A20","1","9","4","T","X","A20.2","A202","4-014","3-015","2-006","1-007"
"117","Plague meningitis","A20.3","444","A20","A20","1","9","4","T","X","A20.3","A203","4-014","3-015","2-006","1-007"
"118","Septicaemic plague","A20.7","444","A20","A20","1","9","4","T","X","A20.7","A207","4-014","3-015","2-006","1-007"
"119","Other forms of plague","A20.8","444","A20","A20","1","9","4","T","X","A20.8","A208","4-014","3-015","2-006","1-007"
"120","Plague, unspecified","A20.9","444","A20","A20","1","9","4","T","X","A20.9","A209","4-014","3-015","2-006","1-007"
"121","Tularaemia","A21","445","A21","A20","1","18","3","N","X","A21.-","A21","4-014","3-015","2-024","1-025"
"122","Ulceroglandular tularaemia","A21.0","445","A21","A20","1","18","4","T","X","A21.0","A210","4-014","3-015","2-024","1-025"
"123","Oculoglandular tularaemia","A21.1","445","A21","A20","1","18","4","T","X","A21.1","A211","4-014","3-015","2-024","1-025"
"124","Pulmonary tularaemia","A21.2","445","A21","A20","1","18","4","T","X","A21.2","A212","4-014","3-015","2-024","1-025"
"125","Gastrointestinal tularaemia","A21.3","445","A21","A20","1","18","4","T","X","A21.3","A213","4-014","3-015","2-024","1-025"
"126","Generalized tularaemia","A21.7","445","A21","A20","1","18","4","T","X","A21.7","A217","4-014","3-015","2-024","1-025"
"127","Other forms of tularaemia","A21.8","445","A21","A20","1","18","4","T","X","A21.8","A218","4-014","3-015","2-024","1-025"
"128","Tularaemia, unspecified","A21.9","445","A21","A20","1","18","4","T","X","A21.9","A219","4-014","3-015","2-024","1-025"
"129","Anthrax","A22","446","A22","A20","1","18","3","N","X","A22.-","A22","4-014","3-015","2-024","1-025"
"130","Cutaneous anthrax","A22.0","446","A22","A20","1","18","4","T","X","A22.0","A220","4-014","3-015","2-024","1-025"
"131","Pulmonary anthrax","A22.1","446","A22","A20","1","18","4","T","X","A22.1","A221","4-014","3-015","2-024","1-025"
"132","Gastrointestinal anthrax","A22.2","446","A22","A20","1","18","4","T","X","A22.2","A222","4-014","3-015","2-024","1-025"
"133","Anthrax sepsis","A22.7","446","A22","A20","1","18","4","T","X","A22.7","A227","4-014","3-015","2-024","1-025"
"134","Other forms of anthrax","A22.8","446","A22","A20","1","18","4","T","X","A22.8","A228","4-014","3-015","2-024","1-025"
"135","Anthrax, unspecified","A22.9","446","A22","A20","1","18","4","T","X","A22.9","A229","4-014","3-015","2-024","1-025"
"136","Brucellosis","A23","447","A23","A20","1","10","3","N","X","A23.-","A23","4-014","3-015","2-024","1-025"
"137","Brucellosis due to Brucella melitensis","A23.0","447","A23","A20","1","10","4","T","X","A23.0","A230","4-014","3-015","2-024","1-025"
"138","Brucellosis due to Brucella abortus","A23.1","447","A23","A20","1","10","4","T","X","A23.1","A231","4-014","3-015","2-024","1-025"
"139","Brucellosis due to Brucella suis","A23.2","447","A23","A20","1","10","4","T","X","A23.2","A232","4-014","3-015","2-024","1-025"
"140","Brucellosis due to Brucella canis","A23.3","447","A23","A20","1","10","4","T","X","A23.3","A233","4-014","3-015","2-024","1-025"
"141","Other brucellosis","A23.8","447","A23","A20","1","10","4","T","X","A23.8","A238","4-014","3-015","2-024","1-025"
"142","Brucellosis, unspecified","A23.9","447","A23","A20","1","10","4","T","X","A23.9","A239","4-014","3-015","2-024","1-025"
"143","Glanders and melioidosis","A24","448","A24","A20","1","18","3","N","X","A24.-","A24","4-014","3-015","2-024","1-025"
"144","Glanders","A24.0","448","A24","A20","1","18","4","T","X","A24.0","A240","4-014","3-015","2-024","1-025"
"145","Acute and fulminating melioidosis","A24.1","448","A24","A20","1","18","4","T","X","A24.1","A241","4-014","3-015","2-024","1-025"
"146","Subacute and chronic melioidosis","A24.2","448","A24","A20","1","18","4","T","X","A24.2","A242","4-014","3-015","2-024","1-025"
"147","Other melioidosis","A24.3","448","A24","A20","1","18","4","T","X","A24.3","A243","4-014","3-015","2-024","1-025"
"148","Melioidosis, unspecified","A24.4","448","A24","A20","1","18","4","T","X","A24.4","A244","4-014","3-015","2-024","1-025"
"149","Rat-bite fevers","A25","449","A25","A20","1","18","3","N","X","A25.-","A25","4-014","3-015","2-024","1-025"
"150","Spirillosis","A25.0","449","A25","A20","1","18","4","T","X","A25.0","A250","4-014","3-015","2-024","1-025"
"151","Streptobacillosis","A25.1","449","A25","A20","1","18","4","T","X","A25.1","A251","4-014","3-015","2-024","1-025"
"152","Rat-bite fever, unspecified","A25.9","449","A25","A20","1","18","4","T","X","A25.9","A259","4-014","3-015","2-024","1-025"
"153","Erysipeloid","A26","450","A26","A20","1","18","3","N","X","A26.-","A26","4-014","3-015","2-024","1-025"
"154","Cutaneous erysipeloid","A26.0","450","A26","A20","1","18","4","T","X","A26.0","A260","4-014","3-015","2-024","1-025"
"155","Erysipelothrix sepsis","A26.7","450","A26","A20","1","18","4","T","X","A26.7","A267","4-014","3-015","2-024","1-025"
"156","Other forms of erysipeloid","A26.8","450","A26","A20","1","18","4","T","X","A26.8","A268","4-014","3-015","2-024","1-025"
"157","Erysipeloid, unspecified","A26.9","450","A26","A20","1","18","4","T","X","A26.9","A269","4-014","3-015","2-024","1-025"
"158","Leptospirosis","A27","451","A27","A20","1","18","3","N","X","A27.-","A27","4-014","3-015","2-024","1-025"
"159","Leptospirosis icterohaemorrhagica","A27.0","451","A27","A20","1","18","4","T","X","A27.0","A270","4-014","3-015","2-024","1-025"
"160","Other forms of leptospirosis","A27.8","451","A27","A20","1","18","4","T","X","A27.8","A278","4-014","3-015","2-024","1-025"
"161","Leptospirosis, unspecified","A27.9","451","A27","A20","1","18","4","T","X","A27.9","A279","4-014","3-015","2-024","1-025"
"162","Other zoonotic bacterial diseases, not elsewhere classified","A28","452","A28","A20","1","18","3","N","X","A28.-","A28","4-014","3-015","2-024","1-025"
"163","Pasteurellosis","A28.0","452","A28","A20","1","18","4","T","X","A28.0","A280","4-014","3-015","2-024","1-025"
"164","Cat-scratch disease","A28.1","452","A28","A20","1","18","4","T","X","A28.1","A281","4-014","3-015","2-024","1-025"
"165","Extraintestinal yersiniosis","A28.2","452","A28","A20","1","18","4","T","X","A28.2","A282","4-014","3-015","2-024","1-025"
"166","Other specified zoonotic bacterial diseases, not elsewhere classified","A28.8","452","A28","A20","1","18","4","T","X","A28.8","A288","4-014","3-015","2-024","1-025"
"167","Zoonotic bacterial disease, unspecified","A28.9","452","A28","A20","1","18","4","T","X","A28.9","A289","4-014","3-015","2-024","1-025"
"168","Leprosy [Hansen disease]","A30","453","A30","A30","1","11","3","N","X","A30.-","A30","4-014","3-015","2-024","1-025"
"169","Indeterminate leprosy","A30.0","453","A30","A30","1","11","4","T","X","A30.0","A300","4-014","3-015","2-024","1-025"
"170","Tuberculoid leprosy","A30.1","453","A30","A30","1","11","4","T","X","A30.1","A301","4-014","3-015","2-024","1-025"
"171","Borderline tuberculoid leprosy","A30.2","453","A30","A30","1","11","4","T","X","A30.2","A302","4-014","3-015","2-024","1-025"
"172","Borderline leprosy","A30.3","453","A30","A30","1","11","4","T","X","A30.3","A303","4-014","3-015","2-024","1-025"
"173","Borderline lepromatous leprosy","A30.4","453","A30","A30","1","11","4","T","X","A30.4","A304","4-014","3-015","2-024","1-025"
"174","Lepromatous leprosy","A30.5","453","A30","A30","1","11","4","T","X","A30.5","A305","4-014","3-015","2-024","1-025"
"175","Other forms of leprosy","A30.8","453","A30","A30","1","11","4","T","X","A30.8","A308","4-014","3-015","2-024","1-025"
"176","Leprosy, unspecified","A30.9","453","A30","A30","1","11","4","T","X","A30.9","A309","4-014","3-015","2-024","1-025"
"177","Infection due to other mycobacteria","A31","454","A31","A30","1","18","3","N","X","A31.-","A31","4-014","3-015","2-024","1-025"
"178","Pulmonary mycobacterial infection","A31.0","454","A31","A30","1","18","4","T","X","A31.0","A310","4-014","3-015","2-024","1-025"
"179","Cutaneous mycobacterial infection","A31.1","454","A31","A30","1","18","4","T","X","A31.1","A311","4-014","3-015","2-024","1-025"
"180","Other mycobacterial infections","A31.8","454","A31","A30","1","18","4","T","X","A31.8","A318","4-014","3-015","2-024","1-025"
"181","Mycobacterial infection, unspecified","A31.9","454","A31","A30","1","18","4","T","X","A31.9","A319","4-014","3-015","2-024","1-025"
"182","Listeriosis","A32","455","A32","A30","1","18","3","N","X","A32.-","A32","4-014","3-015","2-024","1-025"
"183","Cutaneous listeriosis","A32.0","455","A32","A30","1","18","4","T","X","A32.0","A320","4-014","3-015","2-024","1-025"
"184","Listerial meningitis and meningoencephalitis","A32.1","455","A32","A30","1","18","4","T","X","A32.1","A321","4-014","3-015","2-024","1-025"
"185","Listerial sepsis","A32.7","455","A32","A30","1","18","4","T","X","A32.7","A327","4-014","3-015","2-024","1-025"
"186","Other forms of listeriosis","A32.8","455","A32","A30","1","18","4","T","X","A32.8","A328","4-014","3-015","2-024","1-025"
"187","Listeriosis, unspecified","A32.9","455","A32","A30","1","18","4","T","X","A32.9","A329","4-014","3-015","2-024","1-025"
"188","Tetanus neonatorum","A33","456","A33","A30","1","12","3","T","X","A33","A33","4-004","3-005","2-007","1-008"
"189","Obstetrical tetanus","A34","457","A34","A30","1","13","3","T","X","A34","A34","UNDEF","UNDEF","2-007","1-008"
"190","Other tetanus","A35","458","A35","A30","1","13","3","T","X","A35","A35","4-004","3-005","2-007","1-008"
"191","Diphtheria","A36","459","A36","A30","1","14","3","N","X","A36.-","A36","4-005","3-006","2-008","1-009"
"192","Pharyngeal diphtheria","A36.0","459","A36","A30","1","14","4","T","X","A36.0","A360","4-005","3-006","2-008","1-009"
"193","Nasopharyngeal diphtheria","A36.1","459","A36","A30","1","14","4","T","X","A36.1","A361","4-005","3-006","2-008","1-009"
"194","Laryngeal diphtheria","A36.2","459","A36","A30","1","14","4","T","X","A36.2","A362","4-005","3-006","2-008","1-009"
"195","Cutaneous diphtheria","A36.3","459","A36","A30","1","14","4","T","X","A36.3","A363","4-005","3-006","2-008","1-009"
"196","Other diphtheria","A36.8","459","A36","A30","1","14","4","T","X","A36.8","A368","4-005","3-006","2-008","1-009"
"197","Diphtheria, unspecified","A36.9","459","A36","A30","1","14","4","T","X","A36.9","A369","4-005","3-006","2-008","1-009"
"198","Whooping cough","A37","460","A37","A30","1","15","3","N","X","A37.-","A37","4-006","3-007","2-009","1-010"
"199","Whooping cough due to Bordetella pertussis","A37.0","460","A37","A30","1","15","4","T","X","A37.0","A370","4-006","3-007","2-009","1-010"
"200","Whooping cough due to Bordetella parapertussis","A37.1","460","A37","A30","1","15","4","T","X","A37.1","A371","4-006","3-007","2-009","1-010"
"201","Whooping cough due to other Bordetella species","A37.8","460","A37","A30","1","15","4","T","X","A37.8","A378","4-006","3-007","2-009","1-010"
"202","Whooping cough, unspecified","A37.9","460","A37","A30","1","15","4","T","X","A37.9","A379","4-006","3-007","2-009","1-010"
"203","Scarlet fever","A38","461","A38","A30","1","18","3","T","X","A38","A38","4-014","3-015","2-024","1-025"
"204","Meningococcal infection","A39","462","A39","A30","1","16","3","N","X","A39.-","A39","4-007","3-008","2-010","1-011"
"205","Meningococcal meningitis","A39.0","462","A39","A30","1","16","4","T","X","A39.0","A390","4-007","3-008","2-010","1-011"
"206","Waterhouse-Friderichsen syndrome","A39.1","462","A39","A30","1","16","4","T","X","A39.1","A391","4-007","3-008","2-010","1-011"
"207","Acute meningococcaemia","A39.2","462","A39","A30","1","16","4","T","X","A39.2","A392","4-007","3-008","2-010","1-011"
"208","Chronic meningococcaemia","A39.3","462","A39","A30","1","16","4","T","X","A39.3","A393","4-007","3-008","2-010","1-011"
"209","Meningococcaemia, unspecified","A39.4","462","A39","A30","1","16","4","T","X","A39.4","A394","4-007","3-008","2-010","1-011"
"210","Meningococcal heart disease","A39.5","462","A39","A30","1","16","4","T","X","A39.5","A395","4-007","3-008","2-010","1-011"
"211","Other meningococcal infections","A39.8","462","A39","A30","1","16","4","T","X","A39.8","A398","4-007","3-008","2-010","1-011"
