"id","icd_10_DiseaseID","icd_10_Code","icd_10_Disease","icd_10_DiseaseGroupID","icd_10_DiseaseGroupCode","icd_10_BlockCode","tg_disease_name","tg1","tg2","tg3","tg4"
"58","711","B50.0","Plasmodium falciparum malaria with cerebral complications","556","B50","B50","SEVERE MALARIA","INFECTIOUS DISEASES AND INFESTATIONS","MALARIA","SEVERE MALARIA","SEVERE MALARIA"
"59","710","B50","Plasmodium falciparum malaria","556","B50","B50","UNCOMPLICATED MALARIA","INFECTIOUS DISEASES AND INFESTATIONS","MALARIA","UNCOMPLICATED MALARIA","UNCOMPLICATED MALARIA"
"65","2868","G00.9","Bacterial meningitis, unspecified","923","G00","G00","BACTERIAL MENINGITIS","INFECTIOUS DISEASES AND INFESTATIONS","MENINGITIS","MENINGITIS","MENINGITIS"
"66","72","A15.0","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","439","A15","A15","TUBERCULOSIS","INFECTIOUS DISEASES AND INFESTATIONS","TUBERCULOSIS","TUBERCULOSIS","TUBERCULOSIS"
"67","6","A01.0","Typhoid fever","430","A01","A00","TYPHOID FEVER","INFECTIOUS DISEASES AND INFESTATIONS","TYPHOID FEVER","TYPHOID FEVER","TYPHOID FEVER"
"68","812","B76","Hookworm diseases","579","B76","B65","WORM INFESTATION (INTESTINAL)","INFECTIOUS DISEASES AND INFESTATIONS","WORM INFESTATION (INTESTINAL)","WORM INFESTATION (INTESTINAL)","WORM INFESTATION (INTESTINAL)"
"69","8080","R10.0","Acute abdomen","424","R10","R10","ACUTE ABDOMEN","TRAUMA AND INJURIES","ACUTE ABDOMEN","ACUTE ABDOMEN","ACUTE ABDOMEN"
"70","10872","X23","Contact with hornets, wasps and bees","1794","X23","X20","BEE AND WASP STINGS","TRAUMA AND INJURIES","BITES AND STINGS","BEE AND WASP STINGS","BEE AND WASP STINGS"
"71","10814","W54","Bitten or struck by dog","1736","W54","W50","DOG AND OTHER ANIMAL BITES","TRAUMA AND INJURIES","BITES AND STINGS","DOG AND OTHER ANIMAL BITES","DOG AND OTHER ANIMAL BITES"
"72","10812","W52","Crushed, pushed or stepped on by crowd or human stampede","1734","W52","W50","HUMAN BITES","TRAUMA AND INJURIES","BITES AND STINGS","HUMAN BITES","HUMAN BITES"
"73","11547","Z24.2","Need for immunization against rabies","1975","Z24","Z20","RABIES IMMUNISATION","TRAUMA AND INJURIES","BITES AND STINGS","RABIES IMMUNISATION","RABIES IMMUNISATION"
"74","9658","T63.2","Toxic effect: Venom of scorpion","306","T63","T51","SCORPION STING","TRAUMA AND INJURIES","BITES AND STINGS","SCORPION STING","SCORPION STING"
"75","9656","T63.0","Toxic effect: Snake venom","306","T63","T51","SNAKE BITE","TRAUMA AND INJURIES","BITES AND STINGS","SNAKE BITE","SNAKE BITE"
"76","9368","T31","Burns classified according to extent of body surface involved","274","T31","T29","BURNS","TRAUMA AND INJURIES","BURNS","BURNS","BURNS"
"77","8504","S07","Crushing injury of head","150","S07","S00","HEAD INJURIES","TRAUMA AND INJURIES","HEAD INJURIES","HEAD INJURIES","HEAD INJURIES"
"78","8999","S81","Open wound of lower leg","224","S81","S80","WOUNDS","TRAUMA AND INJURIES","WOUNDS","WOUNDS","WOUNDS"
"79","190","A35","Other tetanus","458","A35","A30","TETANUS","TRAUMA AND INJURIES","TETANUS","TETANUS","TETANUS"
"80","8159","R36","Urethral discharge","85","R36","R30","URETHRAL DISCHARGE IN MALES","SEXUALLY TRANSMITTED INFECTIONS","URETHRAL DISCHARGE IN MALES","URETHRAL DISCHARGE IN MALES","URETHRAL DISCHARGE IN MALES"
"82","6120","N30.0","Acute cystitis","1453","N30","N30","ACUTE CYSTITIS","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","ACUTE CYSTITIS","ACUTE CYSTITIS","ACUTE CYSTITIS"
"83","6194","N45","Orchitis and epididymitis","1467","N45","N40","ACUTE EPIDIDYMOORCHITIS","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","ACUTE EPIDIDYMOORCHITIS","ACUTE EPIDIDYMOORCHITIS","ACUTE EPIDIDYMOORCHITIS"
"84","8069","R07.1","Chest pain on breathing","422","R07","R00","CHEST PAIN","DISORDERS OF THE CARDIOVASCULAR SYSTEM","CHEST PAIN","CHEST PAIN","CHEST PAIN"
"87","7494","Q24.6","Congenital heart block","349","Q24","Q20","CONGENITAL HEART DISEASE","DISORDERS OF THE CARDIOVASCULAR SYSTEM","CONGENITAL HEART DISEASE","CONGENITAL HEART DISEASE","CONGENITAL HEART DISEASE"
"88","4082","I82","Other venous embolism and thrombosis","1127","I82","I80","DEEP VEIN THROMBOSIS (DVT)","DISORDERS OF THE CARDIOVASCULAR SYSTEM","DEEP VEIN THROMBOSIS (DVT)","DEEP VEIN THROMBOSIS (DVT)","DEEP VEIN THROMBOSIS (DVT)"
"89","3922","I50","Heart failure","1104","I50","I30","HEART FAILURE","DISORDERS OF THE CARDIOVASCULAR SYSTEM","HEART FAILURE","HEART FAILURE","HEART FAILURE"
"90","7465","Q21.3","Tetralogy of Fallot","346","Q21","Q20","HYPERCYANOTIC ATTACK","DISORDERS OF THE CARDIOVASCULAR SYSTEM","HYPERCYANOTIC ATTACK","HYPERCYANOTIC ATTACK","HYPERCYANOTIC ATTACK"
"93","3734","I10","Essential (primary) hypertension","1070","I10","I10","ESSENTIAL (PRIMARY) HYPERTENSION","DISORDERS OF THE CARDIOVASCULAR SYSTEM","HYPERTENSION","HYPERTENSION","HYPERTENSION"
"96","3746","I15","Secondary hypertension","1074","I15","I10","SECONDARY HYPERTENSION","DISORDERS OF THE CARDIOVASCULAR SYSTEM","HYPERTENSION","HYPERTENSION","HYPERTENSION"
"98","3797","I27.0","Primary pulmonary hypertension","1082","I27","I26","PULMONARY HYPERTENSION","DISORDERS OF THE CARDIOVASCULAR SYSTEM","HYPERTENSION","HYPERTENSION","HYPERTENSION"
"100","3738","I12","Hypertensive renal disease","1072","I12","I10","HYPERTENSIVE RENAL DISEASE","DISORDERS OF THE CARDIOVASCULAR SYSTEM","HYPERTENSION","HYPERTENSION","HYPERTENSION"
"101","3778","I24","Other acute ischaemic heart diseases","1079","I24","I20","ACUTE CORONARY SYNDROME (ACS) (ACUTE ISCHAEMIC HEART DISEASE)","DISORDERS OF THE CARDIOVASCULAR SYSTEM","ISCHAEMIC HEART DISEASE","ACUTE CORONARY SYNDROME (ACS)","ACUTE CORONARY SYNDROME (ACS)"
"102","3783","I25","Chronic ischaemic heart disease","1080","I25","I20","ISCHAEMIC HEART DISEASE","DISORDERS OF THE CARDIOVASCULAR SYSTEM","ISCHAEMIC HEART DISEASE","ISCHAEMIC HEART DISEASE","ISCHAEMIC HEART DISEASE"
"103","3778","I24","Other acute ischaemic heart diseases","1079","I24","I20","ACUTE ISCHAEMIC HEART DISEASE","DISORDERS OF THE CARDIOVASCULAR SYSTEM","ISCHAEMIC HEART DISEASE","ISCHAEMIC HEART DISEASE","ISCHAEMIC HEART DISEASE"
"104","3752","I20","Angina pectoris","1075","I20","I20","ANGINA PECTORIS","DISORDERS OF THE CARDIOVASCULAR SYSTEM","ISCHAEMIC HEART DISEASE","STABLE ANGINA PECTORIS","STABLE ANGINA PECTORIS"
"105","3807","I30","Acute pericarditis","1084","I30","I30","PERICARDITIS","DISORDERS OF THE CARDIOVASCULAR SYSTEM","PERICARDITIS","PERICARDITIS","PERICARDITIS"
"106","3813","I31.0","Chronic adhesive pericarditis","1085","I31","I30","CHRONIC PERICARDITIS","DISORDERS OF THE CARDIOVASCULAR SYSTEM","PERICARDITIS","PERICARDITIS","PERICARDITIS"
"107","3793","I26","Pulmonary embolism","1081","I26","I26","PULMONARY EMBOLISM (PE)","DISORDERS OF THE CARDIOVASCULAR SYSTEM","PULMONARY EMBOLISM (PE)","PULMONARY EMBOLISM (PE)","PULMONARY EMBOLISM (PE)"
"108","3693","I00","Rheumatic fever without mention of heart involvement","1062","I00","I00","RHEUMATIC FEVER","DISORDERS OF THE CARDIOVASCULAR SYSTEM","RHEUMATIC FEVER","RHEUMATIC FEVER","RHEUMATIC FEVER"
"109","3694","I01","Rheumatic fever with heart involvement","1063","I01","I00","RHEUMATIC FEVER (HEART INVOLVEMENT)","DISORDERS OF THE CARDIOVASCULAR SYSTEM","RHEUMATIC FEVER","RHEUMATIC FEVER","RHEUMATIC FEVER"
"110","3976","I64","Stroke, not specified as haemorrhage or infarction","1111","I64","I60","STROKE","DISORDERS OF THE CARDIOVASCULAR SYSTEM","STROKE","STROKE","STROKE"
"111","4222","J20","Acute bronchitis","1156","J20","J20","ACUTE BRONCHITIS","DISORDERS OF THE RESPIRATORY SYSTEM","ACUTE BRONCHITIS","ACUTE BRONCHITIS","ACUTE BRONCHITIS"
"113","4312","J45","Asthma","1174","J45","J40","ASTHMA","DISORDERS OF THE RESPIRATORY SYSTEM","ASTHMA","ASTHMA","ASTHMA"
"114","4312","J45","Asthma","1174","J45","J40","ACUTE SEVERE ASTHMA","DISORDERS OF THE RESPIRATORY SYSTEM","ASTHMA","MANAGEMENT OF ACUTE SEVERE ASTHMA","MANAGEMENT OF ACUTE SEVERE ASTHMA"
"115","4318","J47","Bronchiectasis","1176","J47","J40","BRONCHIECTASIS","DISORDERS OF THE RESPIRATORY SYSTEM","BRONCHIECTASIS","BRONCHIECTASIS","BRONCHIECTASIS"
"116","4233","J21","Acute bronchiolitis","1157","J21","J20","BRONCHIOLITIS","DISORDERS OF THE RESPIRATORY SYSTEM","BRONCHIOLITIS","BRONCHIOLITIS","BRONCHIOLITIS"
"117","4297","J41.0","Simple chronic bronchitis","1170","J41","J40","CHRONIC BRONCHITIS","DISORDERS OF THE RESPIRATORY SYSTEM","CHRONIC BRONCHITIS","CHRONIC BRONCHITIS","CHRONIC BRONCHITIS"
"118","4300","J42","Unspecified chronic bronchitis","1171","J42","J40","CHRONIC BRONCHITIS (UNSPECIFIED)","DISORDERS OF THE RESPIRATORY SYSTEM","CHRONIC BRONCHITIS","CHRONIC BRONCHITIS","CHRONIC BRONCHITIS"
"119","4150","J00","Acute nasopharyngitis [common cold]","1139","J00","J00","COMMON COLD","DISORDERS OF THE RESPIRATORY SYSTEM","COMMON COLD","COMMON COLD","COMMON COLD"
"120","5942","N00.2","Acute nephritic syndrome: Diffuse membranous glomerulonephritis","1425","N00","N00","ACUTE GLOMERULONEPHRITIS","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","ACUTE GLOMERULONEPHRITIS","ACUTE GLOMERULONEPHRITIS","ACUTE GLOMERULONEPHRITIS"
"122","6072","N17","Acute renal failure","1441","N17","N17","ACUTE RENAL FAILURE (ACUTE KIDNEY INJURY)","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","ACUTE RENAL FAILURE (ACUTE KIDNEY INJURY)","ACUTE RENAL FAILURE (ACUTE KIDNEY INJURY)","ACUTE RENAL FAILURE (ACUTE KIDNEY INJURY)"
"123","4378","J85","Abscess of lung and mediastinum","1192","J85","J85","LUNG ABSCESS","DISORDERS OF THE RESPIRATORY SYSTEM","LUNG ABSCESS","LUNG ABSCESS","LUNG ABSCESS"
"124","6173","N41","Inflammatory diseases of prostate","1463","N41","N40","BACTERIAL PROSTATITIS","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","BACTERIAL PROSTATITIS","BACTERIAL PROSTATITIS","BACTERIAL PROSTATITIS"
"125","4196","J15","Bacterial pneumonia, not elsewhere classified","1152","J15","J09","PNEUMONIA (BACTERIAL)","DISORDERS OF THE RESPIRATORY SYSTEM","PNEUMONIA","PNEUMONIA","PNEUMONIA"
"126","6172","N40","Hyperplasia of prostate","1462","N40","N40","BENIGN PROSTATIC HYPERPLASIA","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","BENIGN PROSTATIC HYPERPLASIA","BENIGN PROSTATIC HYPERPLASIA","BENIGN PROSTATIC HYPERPLASIA"
"127","1513","D07.5","Carcinoma in situ: Prostate","697","D07","D00","CARCINOMA OF PROSTATE","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","CARCINOMA OF PROSTATE","CARCINOMA OF PROSTATE","CARCINOMA OF PROSTATE"
"128","6078","N18","Chronic kidney disease","1442","N18","N17","CHRONIC KIDNEY DISEASE","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","CHRONIC KIDNEY DISEASE","CHRONIC KIDNEY DISEASE","CHRONIC KIDNEY DISEASE"
"129","2689","F52","Sexual dysfunction, not caused by organic disorder or disease","888","F52","F50","ERECTILE DYSFUNCTION","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","ERECTILE DYSFUNCTION","ERECTILE DYSFUNCTION","ERECTILE DYSFUNCTION"
"130","6209","N49","Inflammatory disorders of male genital organs, not elsewhere classified","1471","N49","N40","FOURNIERS GANGRENE","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","FOURNIERS GANGRENE","FOURNIERS GANGRENE","FOURNIERS GANGRENE"
"131","8160","R39","Other symptoms and signs involving the urinary system","86","R39","R30","HAEMATURIA","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","HAEMATURIA","HAEMATURIA","HAEMATURIA"
"132","5983","N04","Nephrotic syndrome","1429","N04","N00","NEPHROTIC SYNDROME","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","NEPHROTIC SYNDROME","NEPHROTIC SYNDROME","NEPHROTIC SYNDROME"
"133","6203","N48.3","Priapism","1470","N48","N40","PRIAPISM","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","PRIAPISM","PRIAPISM","PRIAPISM"
"134","6212","N49.2","Inflammatory disorders of scrotum","1471","N49","N40","SCROTAL MASSES","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","SCROTAL MASSES","SCROTAL MASSES","SCROTAL MASSES"
"135","6193","N44","Torsion of testis","1466","N44","N40","TESTICULAR TORSION (TORSION OF SPERMATIC CORD)","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","TESTICULAR TORSION (TORSION OF SPERMATIC CORD)","TESTICULAR TORSION (TORSION OF SPERMATIC CORD)","TESTICULAR TORSION (TORSION OF SPERMATIC CORD)"
"136","6149","N35","Urethral stricture","1458","N35","N30","URETHRAL STRICTURE","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","URETHRAL STRICTURE","URETHRAL STRICTURE","URETHRAL STRICTURE"
"137","758","B65.0","Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]","568","B65","B65","URINARY SCHISTOSOMIASIS","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","URINARY SCHISTOSOMIASIS","URINARY SCHISTOSOMIASIS","URINARY SCHISTOSOMIASIS"
"138","6091","N21","Calculus of lower urinary tract","1445","N21","N20","URINARY TRACT CALCULI","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","URINARY TRACT CALCULI","URINARY TRACT CALCULI","URINARY TRACT CALCULI"
"139","6165","N39.0","Urinary tract infection, site not specified","1461","N39","N30","URINARY TRACT INFECTION","DISORDERS OF THE KIDNEY AND GENITOURINARY SYSTEM","URINARY TRACT INFECTION","URINARY TRACT INFECTION","URINARY TRACT INFECTION"
"140","4920","L02","Cutaneous abscess, furuncle and carbuncle","1276","L02","L00","BOILS","DISORDERS OF THE SKIN","BACTERIAL SKIN INFECTIONS","BOILS","BOILS"
"141","179","A31.1","Cutaneous mycobacterial infection","454","A31","A30","BURULI ULCER","DISORDERS OF THE SKIN","BACTERIAL SKIN INFECTIONS","BURULI ULCER","BURULI ULCER"
"142","4928","L03","Cellulitis","1277","L03","L00","CELLULITIS AND ERYSIPELAS","DISORDERS OF THE SKIN","BACTERIAL SKIN INFECTIONS","CELLULITIS AND ERYSIPELAS","CELLULITIS AND ERYSIPELAS"
"143","4917","L01","Impetigo","1275","L01","L00","IMPETIGO","DISORDERS OF THE SKIN","BACTERIAL SKIN INFECTIONS","IMPETIGO","IMPETIGO"
"144","4729","K59.0","Constipation","1247","K59","K55","CONSTIPATION","DISORDERS OF THE GASTROINTESTINAL TRACT","CONSTIPATION","CONSTIPATION","CONSTIPATION"
"145","4730","K59.1","Functional diarrhoea","1247","K59","K55","DIARRHOEA","DISORDERS OF THE GASTROINTESTINAL TRACT","DIARRHOEA","DIARRHOEA","DIARRHOEA"
"146","324","A66.0","Initial lesions of yaws","485","A66","A65","YAWS","DISORDERS OF THE SKIN","BACTERIAL SKIN INFECTIONS","YAWS","YAWS"
"147","4553","K21","Gastro-oesophageal reflux disease","1219","K21","K20","GASTROESOPHAGEAL REFLUX DISEASE (GERD)","DISORDERS OF THE GASTROINTESTINAL TRACT","GASTROESOPHAGEAL REFLUX DISEASE","GASTROESOPHAGEAL REFLUX DISEASE","GASTROESOPHAGEAL REFLUX DISEASE"
"148","614","B36.0","Pityriasis versicolor","542","B36","B35","PITYRIASIS VERSICOLOR","DISORDERS OF THE SKIN","FUNGAL SKIN INFECTIONS","PITYRIASIS VERSICOLOR","PITYRIASIS VERSICOLOR"
"149","4094","I84","Haemorrhoids","1129","I84","I80","HAEMORRHOIDS","DISORDERS OF THE GASTROINTESTINAL TRACT","HAEMORRHOIDS","HAEMORRHOIDS","HAEMORRHOIDS"
"150","4591","K27","Peptic ulcer, site unspecified","1224","K27","K20","PEPTIC ULCER DISEASE","DISORDERS OF THE GASTROINTESTINAL TRACT","PEPTIC ULCER DISEASE","PEPTIC ULCER DISEASE","PEPTIC ULCER DISEASE"
"151","4622","K30","Dyspepsia","1227","K30","K20","DYSPEPSIA","DISORDERS OF THE GASTROINTESTINAL TRACT","GASTROESOPHAGEAL REFLUX DISEASE","GASTROESOPHAGEAL REFLUX DISEASE","GASTROESOPHAGEAL REFLUX DISEASE"
"152","48","A06.4","Amoebic liver abscess","435","A06","A00","AMOEBIC LIVER ABSCESS","DISORDERS OF THE LIVER","AMOEBIC LIVER ABSCESS","AMOEBIC LIVER ABSCESS","AMOEBIC LIVER ABSCESS"
"153","604","B35.0","Tinea barbae and tinea capitis","541","B35","B35","SUPERFICIAL FUNGAL SKIN INFECTION","DISORDERS OF THE SKIN","FUNGAL SKIN INFECTIONS","SUPERFICIAL FUNGAL SKIN INFECTION","SUPERFICIAL FUNGAL SKIN INFECTION"
"154","8095","R18","Ascites","69","R18","R10","ASCITES","DISORDERS OF THE LIVER","HEPATIC ENCEPHALOPATHY","ASCITES","ASCITES"
"155","5187","L70.0","Acne vulgaris","1321","L70","L60","ACNE VULGARIS (PIMPLES)","DISORDERS OF THE SKIN","NON-SPECIFIC SKIN CONDITIONS","ACNE VULGARIS (PIMPLES)","ACNE VULGARIS (PIMPLES)"
"157","3217","G93.4","Encephalopathy, unspecified","984","G93","G90","HEPATIC ENCEPHALOPATHY","DISORDERS OF THE LIVER","HEPATIC ENCEPHALOPATHY","HEPATIC ENCEPHALOPATHY","HEPATIC ENCEPHALOPATHY"
"158","4987","L23","Allergic contact dermatitis","1289","L23","L20","ECZEMA (DERMATITIS)","DISORDERS OF THE SKIN","NON-SPECIFIC SKIN CONDITIONS","ECZEMA (DERMATITIS)","ECZEMA (DERMATITIS)"
"159","513","B16","Acute hepatitis B","526","B16","B15","ACUTE HEPATITIS","DISORDERS OF THE LIVER","HEPATITIS","ACUTE HEPATITIS","ACUTE HEPATITIS"
"160","5041","L30.4","Erythema intertrigo","1296","L30","L20","INTERTRIGO","DISORDERS OF THE SKIN","NON-SPECIFIC SKIN CONDITIONS","INTERTRIGO","INTERTRIGO"
"161","5308","L98.4","Chronic ulcer of skin, not elsewhere classified","1344","L98","L80","LARGE CHRONIC ULCERS","DISORDERS OF THE SKIN","NON-SPECIFIC SKIN CONDITIONS","LARGE CHRONIC ULCERS","LARGE CHRONIC ULCERS"
"162","5029","L29","Pruritus","1295","L29","L20","PRURITUS (ITCHING)","DISORDERS OF THE SKIN","NON-SPECIFIC SKIN CONDITIONS","PRURITUS (ITCHING)","PRURITUS (ITCHING)"
"163","5093","L51.2","Toxic epidermal necrolysis [Lyell]","1304","L51","L50","REACTIVE ERYTHEMA AND BULLOUS REACTIONS","DISORDERS OF THE SKIN","NON-SPECIFIC SKIN CONDITIONS","REACTIVE ERYTHEMA AND BULLOUS REACTIONS","REACTIVE ERYTHEMA AND BULLOUS REACTIONS"
"164","5080","L50","Urticaria","1303","L50","L50","URTICARIA (WEALS)","DISORDERS OF THE SKIN","NON-SPECIFIC SKIN CONDITIONS","URTICARIA (WEALS)","URTICARIA (WEALS)"
"165","472","B01","Varicella [chickenpox]","516","B01","B00","CHICKEN POX","DISORDERS OF THE SKIN","VIRAL SKIN INFECTIONS","CHICKEN POX","CHICKEN POX"
